eventType,producer,consumers,aggregate,style
TenantCreated,Identity,Authorization;Audit,Tenant,State-carrying
TenantStatusChanged,Identity,Auth;Authorization;Audit,Tenant,State-carrying
UserCreated,Identity,Authorization;Audit,User,State-carrying
UserStatusChanged,Identity,Auth;Authorization;Audit,User,State-carrying
UserRoleChanged,Identity,Authorization;Audit,User,State-carrying
TeamChanged,Organization,Authorization;Audit,Team,State-carrying
TeamMemberChanged,Organization,Authorization;Audit,Team/User,State-carrying
TeamRoleChanged,Organization,Authorization;Audit,TeamRole,State-carrying
TeamMemberRoleChanged,Organization,Authorization;Audit,Team/User,State-carrying
ResourceChanged,Authorization,Gateway;Audit,Resource,State-carrying
OperationChanged,Authorization,Gateway;Audit,Operation,State-carrying
ApiMappingChanged,Authorization,Gateway;Audit,ApiMapping,State-carrying
RolePermissionChanged,Authorization,Authorization;Audit,Role,State-carrying
TeamRolePermissionChanged,Authorization,Authorization;Audit,TeamRole,State-carrying
DataScopeChanged,Authorization,Authorization;Audit,GrantBinding,State-carrying
FieldPolicyChanged,Authorization,Authorization;Audit,GrantBinding,State-carrying
PermissionVersionChanged,Authorization,Gateway;BusinessClient;Audit,PermissionVersion,State-carrying
ResourceShareCreated,Sharing,Authorization;BusinessACL;Audit,Share,State-carrying
ResourceShareRevoked,Sharing,Authorization;BusinessACL;Audit,Share,State-carrying
ResourceShareExpired,Sharing,Authorization;BusinessACL;Audit,Share,State-carrying
SessionCreated,Auth,Audit,Session,State-carrying
SessionRevoked,Auth,Audit;Security,Session,State-carrying
RefreshTokenReuseDetected,Auth,Audit;Security,Session,Security
PasswordChanged,Auth,Audit,User,Security
ResourceDeleted,Business,Sharing;Authorization;Audit,BusinessResource,State-carrying
ResourceOwnershipChanged,Business,Sharing;Authorization;Audit,BusinessResource,State-carrying
FileUploaded,File,ScanProcessor;Audit;BusinessClient,FileObject,State-carrying
FileInstantCreated,File,Audit;BusinessClient,FileObject,State-carrying
FileScanCompleted,File,Audit,FileObject,State-carrying
FileAvailable,File,BusinessClient;Audit,FileObject,State-carrying
FileQuarantined,File,Audit;Security,FileObject,Security
FileDeleted,File,BusinessClient;Audit,FileObject,State-carrying
FilePurged,File,Audit,FileObject,State-carrying
FileReferenceCreated,File,BusinessClient;Audit,FileReference,State-carrying
FileReferenceRemoved,File,BusinessClient;Audit,FileReference,State-carrying
UploadSessionExpired,File,Audit,UploadSession,State-carrying
