domain,command,application_service,aggregate,repositories,event,transaction
Identity,CreateUserCommand,UserApplicationService,User,UserRepository;UserIdentityRepository,UserCreated,Local TX + Outbox
Identity,DisableUserCommand,UserApplicationService,User,UserRepository;PermissionVersionRepository,UserStatusChanged,Local TX + Outbox
Identity,AssignUserRolesCommand,RoleAssignmentApplicationService,UserRole relation,UserRoleRepository;PermissionVersionRepository,UserRoleChanged,Local TX + Outbox
Organization,AddTeamMemberCommand,TeamApplicationService,Team membership,TeamMemberRepository,TeamMemberChanged,Local TX + Outbox
Organization,RemoveTeamMemberCommand,TeamApplicationService,Team membership,TeamMemberRepository,TeamMemberChanged,Local TX + Outbox
Authorization,UpdateRolePermissionsCommand,RolePermissionApplicationService,RolePermissionBinding,RolePermissionRepository;PermissionVersionRepository,RolePermissionChanged,Local TX + Outbox
Authorization,UpdateTeamRolePermissionsCommand,TeamRolePermissionApplicationService,TeamRolePermissionBinding,TeamRolePermissionRepository;PermissionVersionRepository,TeamRolePermissionChanged,Local TX + Outbox
Authorization,MapApiToResourceOperationCommand,ApiMappingApplicationService,ApiMapping,ApiMappingRepository;PermissionVersionRepository,ApiMappingChanged,Local TX + Outbox
Authorization,AuthorizeCommand/Request,AuthorizationApplicationService,AuthorizationEngine,Authorization read-model query ports,AuthorizationDecision,Read path
Sharing,CreateResourceShareCommand,ResourceShareApplicationService,ResourceShare,ResourceShareRepository;ShareProjectionEpochRepository,ResourceShareCreated,Remote validation + Local TX + Outbox
Sharing,RevokeResourceShareCommand,ResourceShareApplicationService,ResourceShare,ResourceShareRepository;ShareProjectionEpochRepository,ResourceShareRevoked,Local TX + Outbox
Auth,LoginCommand,AuthenticationApplicationService,LoginSession;RefreshToken,SessionRepository;RefreshTokenRepository,SessionCreated,Local TX + Redis compensation
Auth,RefreshAccessTokenCommand,AuthenticationApplicationService,RefreshToken,RefreshTokenRepository;SessionRepository,RefreshTokenRotated,Local TX with row lock
Auth,ForceLogoutCommand,SessionApplicationService,LoginSession,SessionRepository,SessionRevoked,Local TX + Redis invalidation
Audit,AcknowledgeSecurityEventCommand,SecurityEventApplicationService,SecurityEvent,SecurityEventRepository,SecurityEventAcknowledged,Local TX
