requirement_id,requirement,source,api_or_event,data_owner,verification_id,release_gate,contract_status
IAM-TEN-001,Reject untrusted tenant identity and enforce SQL tenant predicate,SPEC37-4,OpenAPI trusted context,iam-identity-service,SEC-TEN-001;IT-TEN-001,P0 security,READY
IAM-TEN-002,Cross-tenant resource lookup never reveals existence,SPEC37-4,All resource endpoints,Every owning service,SEC-IDOR-001,P0 security,READY
IAM-AUTHN-001,Login does not enumerate identities,SPEC37-5,POST /api/v1/auth/login,iam-auth-service,SEC-AUTHN-001,P0 security,READY
IAM-AUTHN-002,Access JWT pins algorithm and validates required identity version and time claims,SPEC43-2,AccessToken schema,iam-auth-service;iam-gateway,SEC-ACCESS-001;SEC-JWT-002,P0 security,READY
IAM-AUTHN-009,Login credentials are returned only after session refresh-HMAC and projection-Outbox commit,SPEC46,POST /api/v1/auth/login;iam.auth.session-security-projection,iam-auth-service,IT-LOGIN-ISSUANCE-001,P0 security,IMPLEMENTED_SOURCE
IAM-AUTHN-005,Gateway establishes identity only after exact authoritative session state and security-version validation,SPEC43-4,Gateway protected-route trust context,iam-gateway;iam-auth-service,SEC-SESSION-001,P0 security,READY
IAM-AUTHN-006,Access JWKS can be fetched only through the bounded exact-host HTTPS trust adapter,SPEC44-5,Gateway access-token key resolution,iam-gateway,SEC-JWKS-TRANSPORT-001,P0 security,READY
IAM-AUTHN-007,Session security projection is shared strict monotonic terminal-safe and absolutely expiring,SPEC44-2;SPEC44-3;SPEC44-4,Redis session security hash,iam-auth-service;iam-gateway,IT-SESSION-PROJECTION-001;SEC-SESSION-001,P0 security,READY
IAM-AUTHN-008,Session projection delivery uses atomic append leased at-least-once relay strict payload validation and idempotent consumption,SPEC45-2;SPEC45-4;SPEC45-6,iam.auth.session-security-projection,iam-auth-service,IT-OUTBOX-001;IT-SESSION-PROJECTION-001,P0 security,READY
IAM-AUTHN-003,Refresh rotates atomically and reuse revokes family,SPEC37-5,POST /api/v1/auth/refresh;RefreshTokenReuseDetected.v1,iam-auth-service,IT-REFRESH-001;SEC-REFRESH-002,P0 security,READY
IAM-AUTHN-004,User disable invalidates sessions before success,SPEC37-5,POST /admin/v1/users/{userId}/disable;UserStatusChanged.v1,iam-identity-service,IT-DISABLE-001,P0 security,READY
IAM-AUTHZ-001,Unknown or unavailable authorization state denies,SPEC37-6,POST /internal/v1/authorization/check,iam-authorization-service,SEC-FAILCLOSED-001,P0 security,READY
